In_Apple_Serial_Nr	Item_Name	Item_Value	Item_Modifier
FH7ZK0T1MLDJ	Output_TS	10/22/2019	Header
FH7ZK0T1MLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0T1MLDJ	SVC_FATP_yield	Y	Header
FH7ZK0T1MLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0T1MLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0T8MLDJ	Commodity_Cd 	Watch	Header
FH7ZK0T8MLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0T8MLDJ	Business Category	AC	Header
FH7ZK0T8MLDJ	New Buy	Y	Header
FH7ZK0T8MLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0T8MLDJ	Input_TS	10/21/2019	Header
FH7ZK0T8MLDJ	Output_TS	10/22/2019	Header
FH7ZK0T8MLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0T8MLDJ	SVC_FATP_yield	Y	Header
FH7ZK0T8MLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0T8MLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0TTMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0TTMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0TTMLDJ	Business Category	AC	Header
FH7ZK0TTMLDJ	New Buy	Y	Header
FH7ZK0TTMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0TTMLDJ	Input_TS	10/21/2019	Header
FH7ZK0TTMLDJ	Output_TS	10/22/2019	Header
FH7ZK0TTMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0TTMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0TTMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0TTMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0XKMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0XKMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0XKMLDJ	Business Category	AC	Header
FH7ZK0XKMLDJ	New Buy	Y	Header
FH7ZK0XKMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0XKMLDJ	Input_TS	10/21/2019	Header
FH7ZK0XKMLDJ	Output_TS	10/22/2019	Header
FH7ZK0XKMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0XKMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0XKMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0XKMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZL00HMLDJ	Commodity_Cd 	Watch	Header
FH7ZL00HMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZL00HMLDJ	Business Category	AC	Header
FH7ZL00HMLDJ	New Buy	Y	Header
FH7ZL00HMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZL00HMLDJ	Input_TS	10/23/2019	Header
FH7ZL00HMLDJ	Output_TS	10/24/2019	Header
FH7ZL00HMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZL00HMLDJ	SVC_FATP_yield	Y	Header
FH7ZL00HMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZL00HMLDJ	ALL TEST PASSED	Y	T0C0R0
FHLZK18LMLTQ	Commodity_Cd 	Watch	Header
FHLZK18LMLTQ	Eng_Project_Cd 	N144B	Header
FHLZK18LMLTQ	Business Category	AC	Header
FHLZK18LMLTQ	New Buy	Y	Header
FHLZK18LMLTQ	L2_Vendor_Cd 	FQW	Header
FHLZK18LMLTQ	Input_TS	10/19/2019	Header
FHLZK18LMLTQ	Output_TS	10/22/2019	Header
FHLZK18LMLTQ	In_Apple_Part_Id 	A2093	Header
FHLZK18LMLTQ	SVC_FATP_yield	Y	Header
FHLZK18LMLTQ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK18LMLTQ	ALL TEST PASSED	Y	T0C0R0
FHLZK1EZMLTQ	Commodity_Cd 	Watch	Header
FHLZK1EZMLTQ	Eng_Project_Cd 	N144B	Header
FHLZK1EZMLTQ	Business Category	AC	Header
FHLZK1EZMLTQ	New Buy	Y	Header
FHLZK1EZMLTQ	L2_Vendor_Cd 	FQW	Header
FHLZK1EZMLTQ	Input_TS	10/19/2019	Header
FHLZK1EZMLTQ	Output_TS	10/22/2019	Header
FHLZK1EZMLTQ	In_Apple_Part_Id 	A2093	Header
FHLZK1EZMLTQ	SVC_FATP_yield	Y	Header
FHLZK1EZMLTQ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK1EZMLTQ	ALL TEST PASSED	Y	T0C0R0
FHLZK295MLTQ	Commodity_Cd 	Watch	Header
FHLZK295MLTQ	Eng_Project_Cd 	N144B	Header
FHLZK295MLTQ	Business Category	AC	Header
FHLZK295MLTQ	New Buy	Y	Header
FHLZK295MLTQ	L2_Vendor_Cd 	FQW	Header
FHLZK295MLTQ	Input_TS	10/18/2019	Header
FHLZK295MLTQ	Output_TS	10/20/2019	Header
FHLZK295MLTQ	In_Apple_Part_Id 	A2093	Header
FHLZK295MLTQ	SVC_FATP_yield	Y	Header
FHLZK295MLTQ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK295MLTQ	ALL TEST PASSED	Y	T0C0R0
FHLZK29AMLTQ	Commodity_Cd 	Watch	Header
FHLZK29AMLTQ	Eng_Project_Cd 	N144B	Header
FHLZK29AMLTQ	Business Category	AC	Header
FHLZK29AMLTQ	New Buy	Y	Header
FHLZK29AMLTQ	L2_Vendor_Cd 	FQW	Header
FHLZK29AMLTQ	Input_TS	10/18/2019	Header
FHLZK29AMLTQ	Output_TS	10/20/2019	Header
FHLZK29AMLTQ	In_Apple_Part_Id 	A2093	Header
FHLZK29AMLTQ	SVC_FATP_yield	Y	Header
FHLZK29AMLTQ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK29AMLTQ	ALL TEST PASSED	Y	T0C0R0
FHLZK2N3MLTQ	Commodity_Cd 	Watch	Header
FHLZK2N3MLTQ	Eng_Project_Cd 	N144B	Header
FHLZK2N3MLTQ	Business Category	AC	Header
FHLZK2N3MLTQ	New Buy	Y	Header
FHLZK2N3MLTQ	L2_Vendor_Cd 	FQW	Header
FHLZK2N3MLTQ	Input_TS	10/18/2019	Header
FHLZK2N3MLTQ	Output_TS	10/19/2019	Header
FHLZK2N3MLTQ	In_Apple_Part_Id 	A2093	Header
FHLZK2N3MLTQ	SVC_FATP_yield	Y	Header
FHLZK2N3MLTQ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK2N3MLTQ	ALL TEST PASSED	Y	T0C0R0
FHLZK0CZMLDL	Commodity_Cd 	Watch	Header
FHLZK0CZMLDL	Eng_Project_Cd 	N146B	Header
FHLZK0CZMLDL	Business Category	AC	Header
FHLZK0CZMLDL	New Buy	Y	Header
FHLZK0CZMLDL	L2_Vendor_Cd 	FQW	Header
FHLZK0CZMLDL	Input_TS	10/21/2019	Header
FHLZK0CZMLDL	Output_TS	10/22/2019	Header
FHLZK0CZMLDL	In_Apple_Part_Id 	A2095	Header
FHLZK0CZMLDL	SVC_FATP_yield	Y	Header
FHLZK0CZMLDL	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK0CZMLDL	ALL TEST PASSED	Y	T0C0R0
FHLZK0GLMLDL	Commodity_Cd 	Watch	Header
FHLZK0GLMLDL	Eng_Project_Cd 	N146B	Header
FHLZK0GLMLDL	Business Category	AC	Header
FHLZK0GLMLDL	New Buy	Y	Header
FHLZK0GLMLDL	L2_Vendor_Cd 	FQW	Header
FHLZK0GLMLDL	Input_TS	10/21/2019	Header
FHLZK0GLMLDL	Output_TS	10/22/2019	Header
FHLZK0GLMLDL	In_Apple_Part_Id 	A2095	Header
FHLZK0GLMLDL	SVC_FATP_yield	Y	Header
FHLZK0GLMLDL	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK0GLMLDL	ALL TEST PASSED	Y	T0C0R0
FHLZK11GMLDL	Commodity_Cd 	Watch	Header
FHLZK11GMLDL	Eng_Project_Cd 	N146B	Header
FHLZK11GMLDL	Business Category	AC	Header
FHLZK11GMLDL	New Buy	Y	Header
FHLZK11GMLDL	L2_Vendor_Cd 	FQW	Header
FHLZK11GMLDL	Input_TS	10/21/2019	Header
FHLZK11GMLDL	Output_TS	10/22/2019	Header
FHLZK11GMLDL	In_Apple_Part_Id 	A2095	Header
FHLZK11GMLDL	SVC_FATP_yield	Y	Header
FHLZK11GMLDL	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK11GMLDL	ALL TEST PASSED	Y	T0C0R0
FHLZK13RMLDL	Commodity_Cd 	Watch	Header
FHLZK13RMLDL	Eng_Project_Cd 	N146B	Header
FHLZK13RMLDL	Business Category	AC	Header
FHLZK13RMLDL	New Buy	Y	Header
FHLZK13RMLDL	L2_Vendor_Cd 	FQW	Header
FHLZK13RMLDL	Input_TS	10/21/2019	Header
FHLZK13RMLDL	Output_TS	10/22/2019	Header
FHLZK13RMLDL	In_Apple_Part_Id 	A2095	Header
FHLZK13RMLDL	SVC_FATP_yield	Y	Header
FHLZK13RMLDL	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZK13RMLDL	ALL TEST PASSED	Y	T0C0R0
FHLZK1DSMLDL	Commodity_Cd 	Watch	Header
